@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Teams,2,10,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.571429,0.383618,0.434396,77.659238,87.420289,8.919732,7.731901,1.18783,0.991081,0.8591,0.131981,2.434467,0.270496,245.53326,0.6,3,0,0,1,4,0.4,2,1,0.6,0.75,0.632456,0.8,0.911111,0.777778,0.177778,0.822222,0.222222,0.851852,0.777778,0.772222,0.632456,0.8,0.808025,0.775,0.777778,0,0.016,0,0.015625,0,15.625,11617,8783,3239,100,100,?
Teams,3,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,5,4,0,55.555556,44.444444,0,0.181818,0.500461,0.548389,101.312847,110.360811,8.919732,11.028315,-2.108583,0.991081,1.225368,-0.234287,-0.017808,-0.001979,-1.796054,0.2,1,0,0,1,4,0.8,4,1,0.2,0.333333,0.316228,0.55,0.761111,0.555556,0.355556,0.644444,0.444444,0.777778,0.555556,0.481481,0.316228,0.55,0.645591,0.5,0.555556,0,0,0,0,0,0,11695,8783,3239,100,100,?
Teams,3,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.3705,0.415435,75.003562,83.604432,8.919732,6.628628,2.291103,0.991081,0.736514,0.254567,2.466893,0.274099,248.803637,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.8,0.81,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.8,0.838889,0.775,0.777778,0,0,0,0,0,0,11890,8783,3239,100,100,?
Teams,3,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.32548,0.363683,65.889873,73.189561,8.919732,5.520983,3.398749,0.991081,0.613443,0.377639,3.416213,0.379579,344.549358,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.95,0.966667,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.95,0.959259,0.775,0.777778,0,0,0,0,0,0,11968,8783,3239,100,100,?
Teams,3,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,5,4,0,55.555556,44.444444,0,0.1,0.459582,0.562011,93.03738,113.10215,8.919732,12.214733,-3.295002,0.991081,1.357193,-0.366111,0.59216,0.065796,59.723538,0.6,3,0.5,2,0.5,2,0.4,2,0.6,0.6,0.6,0.1,0.6,0.727778,0.555556,0.455556,0.544444,0.444444,0.555556,0.555556,0.555556,0.1,0.6,0.656173,0.55,0.555556,0,0,0,0,0,0,11734,8783,3239,88.888889,88.888889,?
Teams,3,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,6,3,0,66.666667,33.333333,0,0.307692,0.317397,0.401352,64.253457,80.770258,8.919732,6.009445,2.910287,0.991081,0.667716,0.323365,3.294972,0.366108,332.321355,0.8,4,0.5,2,0.5,2,0.2,1,0.666667,0.8,0.727273,0.316228,0.85,0.925,0.666667,0.366667,0.633333,0.333333,0.666667,0.666667,0.658009,0.316228,0.85,0.871296,0.649351,0.666667,0,0,0,0,0,0,11734,8783,3239,100,94.444444,?
Teams,3,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,9,0,0,100,0,0,1,0.280131,0.299934,56.709384,60.360356,8.919732,4.407874,4.511858,0.991081,0.489764,0.501318,4.511858,0.501318,455.052916,1,5,0,0,1,4,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,11734,8783,3239,100,100,?
Teams,3,7,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.780488,0.306859,0.339667,62.120227,68.356429,8.919732,5.052076,3.867656,0.991081,0.561342,0.42974,3.850627,0.427847,388.363062,0.8,4,0,0,1,4,0.2,1,1,0.8,0.888889,0.8,1,1,0.888889,0.088889,0.911111,0.111111,0.911111,0.888889,0.888889,0.8,1,1,0.888889,0.888889,0,0,0,0,0,0,11812,8783,3239,100,100,?
Teams,3,8,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.352459,0.428208,71.351475,86.174867,8.919732,7.873629,1.046102,0.991081,0.874848,0.116234,2.970514,0.330057,299.597417,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.8,0.911111,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.8,0.808025,0.775,0.777778,0,0,0,0,0,0,11890,8783,3239,100,94.444444,?
Teams,3,9,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,6,3,0,66.666667,33.333333,0,0.372093,0.384149,0.467987,77.766709,94.180149,8.919732,8.129748,0.789983,0.991081,0.903305,0.087776,2.090037,0.232226,210.795112,0.4,2,0,0,1,4,0.6,3,1,0.4,0.571429,0.478091,0.85,0.925,0.666667,0.266667,0.733333,0.333333,0.809524,0.666667,0.640693,0.478091,0.85,0.871296,0.649351,0.666667,0,0,0,0,0,0,11812,8783,3239,100,100,?
